Año,Dia,Estado,Fecha,Fecha de corte,Mes,Motivo,Número de registros (agrupación),Orden de trabajo generada,Responsable,Situación reportada,Tipo de servicio,Demora en respuesta,Latitud,Longitud,Número,Número de registros
2021,lunes,En proceso de resolución de revisión,15/03/2021 10:48,30/03/2021 10:48,marzo,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.884.716,-60.328.583,10543,
2021,lunes,Finalizado,15/03/2021 11:31,02/02/2022 11:51,marzo,Césped: con falta de mantenimiento o riego,1,SI,JULIO FERRARO,Césped: con falta de mantenimiento o riego,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",324,-36.922.455,-60.297.279,10544,
2021,lunes,En proceso de resolución de revisión,15/03/2021 11:32,14/04/2021 11:32,marzo,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-36.883.129,-60.308.922,10545,
2021,lunes,En proceso de resolución de revisión,15/03/2021 12:26,13/07/2021 12:26,enero,Obras públicas,1,NO,JULIO FERRARO,Otra situación no contemplada,Obras públicas - Pedidos de obra,120,-36.921.989,-60.299.179,10546,
2021,lunes,En proceso de resolución de revisión,15/03/2021 15:40,30/03/2021 18:30,marzo,Habilitaciones,1,SI,PILAR CIARDELLI,Falta de habilitación,Habilitaciones - Dir. de Habilitaciones,15,-36.881.565,-60.325.245,10547,
2021,martes,Finalizado,16/03/2021 09:58,17/03/2021 12:17,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,1,-36.907.345,-6.034.454,10548,
2021,martes,Cancelado,16/03/2021 15:32,16/03/2021 21:09,marzo,Zoonosis,1,NO,MODERADORES,Sugerencia o propuesta,Otros servicios no contemplados,0,-36.895.428,-60.319.031,10549,
2021,miércoles,Finalizado,17/03/2021 07:44,18/03/2021 10:33,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,1,-36.892.742,-60.321.232,10550,
2021,miércoles,Finalizado,17/03/2021 07:55,19/03/2021 12:31,marzo,Estacionamiento: vehículos abandonados,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos abandonados,Tránsito,2,-36.873.886,-60.325.794,10551,
2021,miércoles,Finalizado,17/03/2021 07:59,17/03/2021 12:51,marzo,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,0,-36.873.886,-60.325.794,10552,
2021,miércoles,En proceso de resolución de revisión,17/03/2021 08:23,16/04/2021 08:23,marzo,Obras públicas,1,NO,IVAN ROBBIANI,Otra situación no contemplada,Obras públicas - Dir. de Mantenimiento Urbano,30,-36.893.574,-60.288.727,10553,
2021,miércoles,En En proceso de resolución de resolución,17/03/2021 08:31,12/03/2022 08:31,enero,Obras públicas,1,NO,JULIO FERRARO,Calles urbanas: pedido de cordón cuneta,Obras públicas - Pedidos de obra,360,-36.893.574,-60.288.727,10554,
2021,miércoles,En En proceso de resolución de resolución,17/03/2021 08:42,12/03/2022 08:42,enero,Obras públicas,1,NO,JULIO FERRARO,Calles urbanas: pedido de pavimentación de calzada,Obras públicas - Pedidos de obra,360,-36.885.986,-60.296.635,10555,
2021,miércoles,En proceso de resolución de revisión,17/03/2021 09:32,16/05/2021 09:32,marzo,Obras públicas,1,NO,IVAN ROBBIANI,"Calles urbanas: cuneta rota, desnivelada o sin mantenimiento",Obras públicas - Dir. de Mantenimiento Urbano,60,-36.916.348,-60.294.731,10556,
2021,miércoles,Finalizado,17/03/2021 09:40,02/02/2022 11:51,marzo,Arbolado: pedido de extracción en via pública,1,SI,ANA GEOGHEGAN,Arbolado: pedido de extracción en via pública,Árboles en la vía pública,322,-36.900.166,-60.325.581,10557,
2021,miércoles,Finalizado,17/03/2021 11:23,05/07/2021 08:13,marzo,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,110,-36.898.518,-60.306.221,10558,
2021,miércoles,Finalizado,17/03/2021 11:35,06/04/2021 12:08,marzo,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,20,-36.888.065,-60.304.504,10559,
2021,miércoles,Finalizado,17/03/2021 11:52,18/03/2021 10:45,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,1,-36.885.811,-60.307.228,10560,
2021,miércoles,Finalizado,17/03/2021 13:30,05/07/2021 08:14,marzo,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,110,-36.889.675,-60.330.769,10561,
2021,jueves,En proceso de resolución de revisión,18/03/2021 07:23,02/04/2021 08:48,marzo,Habilitaciones,1,SI,PILAR CIARDELLI,Falta de habilitación,Habilitaciones - Dir. de Habilitaciones,15,-36.873.886,-60.325.794,10562,
2021,jueves,En proceso de resolución de revisión,18/03/2021 11:18,02/04/2021 11:18,marzo,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.888.519,-60.331.062,10563,
2021,jueves,Finalizado,18/03/2021 11:30,19/03/2021 07:33,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,1,-36.896.305,-60.298.477,10564,
2021,viernes,Finalizado,19/03/2021 10:03,25/06/2021 08:27,marzo,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,98,-36.900.169,-60.344.467,10565,
2021,viernes,Cancelado,19/03/2021 11:31,19/03/2021 12:21,marzo,Zoonosis,1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,0,-36.887.627,-60.332.573,10566,
2021,viernes,Finalizado,19/03/2021 12:53,06/04/2021 12:11,marzo,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,18,-36.896.481,-60.303.417,10567,
2021,viernes,Finalizado,19/03/2021 13:05,23/04/2021 06:59,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,35,-36.903.172,-60.335.857,10568,
2021,lunes,En proceso de resolución de revisión,22/03/2021 08:43,05/05/2021 19:54,marzo,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: calzada asfáltica con baches,Obras públicas - Dir. de Mantenimiento Urbano,44,-36.902.691,-60.333.145,10569,
2021,lunes,Finalizado,22/03/2021 08:59,19/04/2021 07:13,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,28,-3.689.151,-60.350.334,10570,
2021,lunes,En proceso de resolución de revisión,22/03/2021 09:24,21/04/2021 09:24,marzo,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-36.925.568,-60.315.926,10571,
2021,lunes,Finalizado,22/03/2021 11:23,05/04/2021 12:43,marzo,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,14,-3.691.518,-60.321.114,10572,
2021,lunes,Finalizado,22/03/2021 11:27,05/04/2021 12:39,marzo,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,14,-368.932,-60.303.486,10573,
2021,lunes,Finalizado,22/03/2021 12:45,30/03/2021 09:46,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,8,-36.892.349,-60.326.649,10574,
2021,lunes,Finalizado,22/03/2021 15:35,05/07/2021 08:14,marzo,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,105,-36.892.227,-60.306.438,10575,
2021,lunes,Finalizado,22/03/2021 15:36,05/07/2021 08:15,marzo,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,105,-36.892.353,-60.306.252,10576,
2021,lunes,Finalizado,22/03/2021 15:37,05/07/2021 08:15,marzo,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,105,-36.892.696,-60.307.003,10577,
2021,martes,Cancelado,23/03/2021 10:46,23/03/2021 11:29,marzo,Zoonosis,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos estacionados en lugar no permitido,Tránsito,0,-36.896.881,-60.319.546,10578,
2021,martes,En proceso de resolución de revisión,23/03/2021 11:26,21/07/2021 11:26,marzo,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-36.895.348,-60.294.395,10579,
2021,martes,Finalizado,23/03/2021 13:16,26/04/2021 12:12,marzo,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,34,-36.880.516,-60.312.099,10580,
2021,jueves,Finalizado,25/03/2021 09:44,25/03/2021 13:44,marzo,Señalización vial: solicitar nueva,1,NO,GUSTAVO SPALTRO,Señalización vial: solicitar nueva,Vialidad - Dir. de Control Urbano,0,-36.884.953,-60.313.637,10581,
2021,jueves,Finalizado,25/03/2021 11:06,10/11/2021 11:16,marzo,Otra situación no contemplada,1,NO,CÉSAR BOURNOT,Otra situación no contemplada,Delegaciones,230,-36.857.273,-60.082.443,10582,
2021,jueves,En proceso de resolución de revisión,25/03/2021 11:47,09/05/2021 11:47,marzo,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: calzada de tierra con presencia de malezas,Obras públicas - Dir. de Mantenimiento Urbano,45,-3.689.978,-6.034.837,10583,
2021,jueves,Finalizado,25/03/2021 12:24,08/04/2021 10:08,marzo,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,14,-36.927.124,-60.301.476,10584,
2021,jueves,Cancelado,25/03/2021 12:50,25/03/2021 20:12,marzo,Zoonosis,1,SI,SOFIA MARTINEZ,Control de plagas / fumigación,Higiene y control urbano,0,-36.915.199,-60.309.093,10585,
2021,viernes,Finalizado,26/03/2021 10:35,26/03/2021 13:00,marzo,Semáforo: sincronización inadecuada,1,SI,GUSTAVO SPALTRO,Semáforo: sincronización inadecuada,Vialidad - Dir. de Control Urbano,0,-36.891.865,-60.314.972,10586,
2021,viernes,En proceso de resolución de revisión,26/03/2021 11:13,25/04/2021 11:13,marzo,Vialidad,1,NO,GUSTAVO SPALTRO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,30,-3.691.478,-60.328.529,10587,
2021,lunes,En proceso de resolución de revisión,29/03/2021 10:17,05/04/2021 10:17,marzo,Obras públicas,1,NO,ANDREA LESCANO,Hidráulica: limpieza de boca de tormenta,Obras públicas - Dir. de Hidráulica,7,-36.891.644,-60.296.139,10588,
2021,lunes,Finalizado,29/03/2021 11:23,24/01/2022 12:04,marzo,Animales domésticos: sueltos en la via pública,1,SI,SOFIA MARTINEZ,Animales domésticos: sueltos en la via pública,Veterinaria - Dir. de Bromatologia,301,-36.898.598,-60.313.271,10589,
2021,lunes,Cancelado,29/03/2021 12:15,29/03/2021 12:34,marzo,Higiene y control urbano,1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,0,-36.926.651,-60.320.747,10590,
2021,lunes,Finalizado,29/03/2021 13:03,16/04/2021 07:56,marzo,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,18,-36.876.995,-60.324.749,10591,
2021,martes,Finalizado,30/03/2021 11:01,13/04/2021 08:16,marzo,Barrido domiciliario: no hay barrido,1,SI,EMANUEL LAPORTILLA,Barrido domiciliario: no hay barrido,Higiene y control urbano - Dir. de Contralor de Servicio,14,-36.895.596,-60.308.514,10592,
2021,martes,Finalizado,30/03/2021 11:07,06/04/2021 08:14,marzo,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,7,-36.878.036,-60.324.833,10593,
2021,miércoles,Finalizado,31/03/2021 09:45,14/04/2021 10:14,marzo,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,14,-36.885.429,-60.334.335,10594,
2021,miercoles,En proceso de resolución de revisión,31/03/2021 10:36,30/04/2021 10:36,marzo,Obras públicas,1,NO,ANDREA LESCANO,Hidráulica: limpieza de zanjas o canales,Obras públicas - Dir. de Hidráulica,30,-36.902.458,-60.351.234,10595,
2021,miércoles,Finalizado,31/03/2021 10:37,06/04/2021 08:16,marzo,Estacionamiento: vehículos estacionados en lugar no permitido,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos estacionados en lugar no permitido,Tránsito,6,-36.900.505,-60.325.859,10596,
2021,miércoles,En proceso de resolución de revisión,31/03/2021 11:42,15/04/2021 11:42,marzo,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: Pedido de camión regador,Obras públicas - Dir. de Mantenimiento Urbano,15,-3.692.054,-60.309.498,10597,
2021,miercoles,En proceso de resolución de revisión,31/03/2021 11:52,15/04/2021 11:52,marzo,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-36.920.803,-60.321.571,10598,
2021,miércoles,En proceso de resolución de revisión,31/03/2021 12:03,15/05/2021 12:03,marzo,Obras públicas,1,NO,IVAN ROBBIANI,Calles urbanas: calzada asfáltica con baches,Obras públicas - Dir. de Mantenimiento Urbano,45,-36.905.148,-60.328.384,10599,
2021,miércoles,Cancelado,31/03/2021 13:23,04/04/2021 19:52,marzo,Control ambiental,1,SI,EMILIA DíAZ,Olores y humos: en actividad agropecuaria,Control ambiental,4,-36.912.968,-60.313.091,10600,
2021,miércoles,En proceso de resolución de revisión,31/03/2021 13:51,20/04/2021 13:51,marzo,Obras públicas,1,NO,IVAN ROBBIANI,"Calles urbanas: calzada asfáltica rota, hundida o levantada",Obras públicas - Dir. de Mantenimiento Urbano,20,-36.907.307,-6.032.766,10601,
2021,viernes,En proceso de resolución de revisión,02/04/2021 20:50,19/04/2021 19:53,abril,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,17,-36.921.375,-6.029.567,10602,
2021,sábado,Finalizado,03/04/2021 17:40,02/02/2022 11:51,abril,Arbolado: pedido de poda en vía pública,1,SI,ANA GEOGHEGAN,Arbolado: pedido de poda en vía pública,Árboles en la vía pública,305,-36.886.036,-60.312.302,10603,
2021,lunes,Finalizado,05/04/2021 11:57,02/02/2022 11:52,abril,Arbolado: pedido de extracción en via pública,1,SI,ANA GEOGHEGAN,Arbolado: pedido de extracción en via pública,Árboles en la vía pública,303,-36.897.869,-60.325.947,10604,
2021,lunes,Finalizado,05/04/2021 12:26,14/04/2021 07:27,abril,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,9,-36.949.249,-60.265.495,10605,
2021,martes,Finalizado,06/04/2021 09:04,27/04/2021 08:52,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,21,-36.914.001,-6.031.424,10606,
2021,martes,Finalizado,06/04/2021 10:30,02/02/2022 11:52,abril,Arbolado: pedido de extracción en via pública,1,SI,ANA GEOGHEGAN,Arbolado: pedido de extracción en via pública,Árboles en la vía pública,302,-36.899.975,-60.310.101,10607,
2021,martes,Finalizado,06/04/2021 11:11,07/04/2021 13:15,abril,Agua: arrojo indiscriminado a la via pública,1,NO,GUSTAVO SPALTRO,Agua: arrojo indiscriminado a la via pública,Control ambiental - Dir. de Control Urbano,1,-3.689.978,-60.323.261,10608,
2021,martes,Finalizado,06/04/2021 11:37,07/04/2021 13:11,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,1,-36.884.109,-60.301.044,10609,
2021,martes,Finalizado,06/04/2021 13:35,26/04/2021 12:38,abril,Reductor de velocidad: solicitar nuevo,1,SI,JULIO FERRARO,Reductor de velocidad: solicitar nuevo,Vialidad - Dir. de Control Urbano,20,-36.891.083,-60.342.731,10610,
2021,miércoles,Finalizado,07/04/2021 08:03,22/04/2021 08:44,abril,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,15,-36.896.488,-60.322.411,10611,
2021,miércoles,Finalizado,07/04/2021 09:36,09/04/2021 13:01,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,2,-36.895.645,-60.321.548,10612,
2021,miércoles,Finalizado,07/04/2021 09:51,14/04/2021 10:12,abril,Recolección de residuos domiliciarios: recolección deficiente,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: recolección deficiente,Higiene y control urbano - Dir. de Contralor de Servicio,7,-36.888.115,-60.345.791,10613,
2021,miércoles,Finalizado,07/04/2021 12:32,21/04/2021 07:15,abril,Estacionamiento: vehículos abandonados,1,NO,GUSTAVO SPALTRO,Estacionamiento: vehículos abandonados,Tránsito,14,-36.893.333,-6.031.123,10614,
2021,miercoles,En proceso de resolución de revisión,07/04/2021 13:40,05/08/2021 13:40,abril,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (casa abandonada),Higiene y control urbano - Dir. de Catastro,120,-36.891.472,-60.311.562,10615,
2021,miércoles,Cancelado,07/04/2021 21:20,08/04/2021 08:15,abril,Higiene y control urbano,1,NO,MODERADORES,Otra situación no contemplada,Cementerios,0,-36.891.098,-60.339.134,10616,
2021,miercoles,En proceso de resolución de revisión,07/04/2021 21:26,23/04/2021 08:12,abril,Obras públicas,1,NO,FABIAN RUBARE,Iluminación: lámpara sin funcionamiento o deficiente,Obras públicas - Dir. de Desarrollo Urbano,15,-3.688.607,-60.310.963,10617,
2021,jueves,Finalizado,08/04/2021 09:29,03/05/2021 12:04,abril,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,25,-36.916.306,-60.333.847,10618,
2021,jueves,Finalizado,08/04/2021 09:34,14/04/2021 10:00,abril,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,6,-36.902.054,-60.324.287,10619,
2021,jueves,Finalizado,08/04/2021 11:14,06/05/2021 10:28,abril,Malezas o basura acumulada: en espacio privado (baldío abierto),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,28,-36.910.332,-60.330.685,10620,
2021,viernes,Finalizado,09/04/2021 11:58,03/05/2021 12:02,abril,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,24,-36.883.724,-60.315.048,10621,
2021,viernes,Finalizado,09/04/2021 12:18,20/04/2021 08:58,abril,Recolección de residuos domiliciarios: recolectores ensucian la vía pública,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: recolectores ensucian la vía pública,Higiene y control urbano - Dir. de Contralor de Servicio,11,-36.916.252,-60.323.078,10622,
2021,viernes,En proceso de resolución de revisión,09/04/2021 12:55,09/05/2021 12:55,abril,Vialidad,1,NO,GUSTAVO SPALTRO,Señalización vial: solicitar nueva,Vialidad - Dir. de Control Urbano,30,-36.865.543,-60.162.876,10623,
2021,sábado,Finalizado,10/04/2021 12:01,26/04/2021 08:19,abril,Sugerencia o propuesta,1,NO,VANINA CABRERA,Sugerencia o propuesta,Hospitales y centros periféricos de salud,16,-36.884.087,-60.313.404,10624,
2021,lunes,Finalizado,12/04/2021 09:54,02/02/2022 11:53,abril,Plantas: caídas o con inclinación peligrosa,1,SI,FEDERICO VIDAL,Plantas: caídas o con inclinación peligrosa,"Parques, plazas y espacios públicos - Dirección de Espacios Verdes",296,-36.894.272,-60.328.182,10626,
2021,lunes,Finalizado,12/04/2021 10:15,12/04/2021 13:59,abril,Carteles y postes en estado o inclinación peligrosa ZZ,1,NO,ADRIAN GUEVARA,Carteles y postes en estado o inclinación peligrosa ZZ,Higiene y control urbano - Defensa Civil,0,-3.684.993,-60.236.668,10627,
2021,lunes,Finalizado,12/04/2021 11:10,20/04/2021 08:03,abril,Malezas o basura acumulada: en espacio público (veredas),1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas),Higiene y control urbano - Dir. de Control Urbano,8,-36.882.458,-60.311.382,10628,
2021,lunes,Cancelado,12/04/2021 13:38,12/04/2021 14:00,abril,"Parques, plazas y espacios públicos",1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,0,-36.921.375,-6.029.567,10629,
2021,lunes,Finalizado,12/04/2021 13:50,19/04/2021 07:09,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,7,-36.888,-6.032.626,10630,
2021,lunes,Finalizado,12/04/2021 13:58,30/06/2021 08:33,abril,En estado o inclinación peligrosa: postes (Telefonica),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Telefonica),Higiene y control urbano - Defensa Civil,79,-3.684.993,-60.236.668,10631,
2021,lunes,En proceso de resolución de revisión,12/04/2021 14:25,12/05/2021 08:00,abril,Obras públicas,1,NO,ANDREA LESCANO,Hidráulica: limpieza de zanjas o canales,Obras públicas - Dir. de Hidráulica,30,-3.688.586,-60.302.399,10625,
2021,lunes,Cancelado,12/04/2021 22:17,13/04/2021 09:25,abril,Otros servicios no contemplados,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público,Higiene y control urbano,0,-36.905.914,-60.314.014,10632,
2021,martes,Cancelado,13/04/2021 08:31,13/04/2021 08:44,abril,Otros servicios no contemplados,1,NO,MODERADORES,Otra situación no contemplada,Otros servicios no contemplados,0,-36.895.309,-6.032.349,10633,
2021,martes,En proceso de resolución de revisión,13/04/2021 15:10,11/08/2021 15:10,abril,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio público (veredas de terrenos cerrados),Higiene y control urbano - Dir. de Catastro,120,-36.900.208,-6.032.077,10634,
2021,martes,En proceso de resolución de revisión,13/04/2021 15:17,11/08/2021 15:17,abril,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (casa abandonada),Higiene y control urbano - Dir. de Catastro,120,-36.900.227,-60.321.209,10635,
2021,miercoles,En proceso de resolución de revisión,14/04/2021 09:30,29/04/2021 09:30,abril,Habilitaciones,1,SI,PILAR CIARDELLI,Falta de habilitación,Habilitaciones - Dir. de Habilitaciones,15,-36.912.388,-60.328.667,10636,
2021,miércoles,Finalizado,14/04/2021 10:17,19/04/2021 07:19,abril,Bebidas alcohólicas: venta fuera de horario permitido,1,NO,GUSTAVO SPALTRO,Bebidas alcohólicas: venta fuera de horario permitido,Habilitaciones - Dir. de Control Urbano,5,-36.912.388,-60.328.667,10637,
2021,miércoles,Finalizado,14/04/2021 10:25,05/07/2021 08:16,abril,Agua: rotura de caño,1,SI,EMANUEL LAPORTILLA,Agua: rotura de caño,Obras públicas - Dir. de Contralor de Servicios,82,-36.899.605,-60.322.666,10638,
2021,miércoles,Finalizado,14/04/2021 11:37,20/04/2021 07:55,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,6,-3.692.057,-60.294.273,10639,
2021,miércoles,Finalizado,14/04/2021 12:21,22/04/2021 07:43,abril,Señalización vial: solicitar nueva,1,NO,GUSTAVO SPALTRO,Señalización vial: solicitar nueva,Vialidad - Dir. de Control Urbano,8,-36.938.374,-60.277.622,10640,
2021,miércoles,En En proceso de resolución de resolución,14/04/2021 14:46,09/04/2022 20:37,enero,Obras públicas,1,NO,JULIO FERRARO,Calles urbanas: pedido de pavimentación de calzada,Obras públicas - Pedidos de obra,360,-36.922.085,-60.307.663,10641,
2021,miércoles,Finalizado,14/04/2021 15:01,02/08/2021 14:21,abril,En estado o inclinación peligrosa: postes (Cablevisión),1,NO,ADRIAN GUEVARA,En estado o inclinación peligrosa: postes (Cablevisión),Higiene y control urbano - Defensa Civil,110,-36.886.429,-6.031.646,10642,
2021,miércoles,Finalizado,14/04/2021 22:47,26/04/2021 08:49,abril,Recolección de residuos domiliciarios: recolección deficiente,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: recolección deficiente,Higiene y control urbano - Dir. de Contralor de Servicio,11,-36.906.872,-60.321.304,10643,
2021,jueves,Finalizado,15/04/2021 10:57,26/04/2021 08:49,abril,Recolección de residuos domiliciarios: no hay recolección,1,SI,EMANUEL LAPORTILLA,Recolección de residuos domiliciarios: no hay recolección,Higiene y control urbano - Dir. de Contralor de Servicio,11,-36.893.257,-60.304.821,10644,
2021,jueves,En proceso de resolución de revisión,15/04/2021 11:22,13/08/2021 11:22,abril,Higiene y control urbano,1,NO,AXEL PORCEL,Malezas o basura acumulada: en espacio privado (baldío abierto),Higiene y control urbano - Dir. de Catastro,120,-3.691.243,-60.320.633,10645,
2021,jueves,Finalizado,15/04/2021 11:55,15/04/2021 12:39,abril,Nomenclador de calles: dañado,1,NO,GUSTAVO SPALTRO,Nomenclador de calles: dañado,Vialidad - Dir. de Control Urbano,0,-36.860.245,-60.286.648,10646,
2021,jueves,Finalizado,15/04/2021 12:29,20/04/2021 07:52,abril,Agua: arrojo de aguas servidas domiciliarias a la via pública,1,SI,GUSTAVO SPALTRO,Agua: arrojo de aguas servidas domiciliarias a la via pública,Control ambiental - Dir. de Control Urbano,5,-36.916.542,-60.312.733,10647,
